gender,age,birth_year,race,immigrant_status,marital_status,child_number,age_first_marriage,age_first_childbirth,education,occupation,income,health_work_difficulty,profile_id
Female,9,1970,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,74
Female,15,1964,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,,0.0,Health doesn't affect work,75
Male,30,1949,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,0.0,24.0,,College and above,Technicians and Related Support Occupations,17710.0,Health doesn't affect work,76
Female,32,1947,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,27.0,30.0,High school,Sales Occupations,0.0,Health doesn't affect work,77
Male,23,1957,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,Technicians and Related Support Occupations,18005.0,Health doesn't affect work,78
Female,50,1929,"Non-Black, Non-Hispanic",Immigrant,Married,0.0,30.0,,High school,,0.0,Health doesn't affect work,79
Female,16,1963,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,Sales Occupations,245.0,Health doesn't affect work,80
Male,23,1957,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,Technicians and Related Support Occupations,11005.0,Health doesn't affect work,81
Female,42,1937,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,16.0,,High school,,0.0,Health doesn't affect work,82
Female,16,1963,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,15.0,,High school,Sales Occupations,8045.0,Health doesn't affect work,83
Female,1,1978,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,84
Female,37,1942,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,19.0,20.0,High school,Service Occupations,5005.0,Health doesn't affect work,85
Female,18,1961,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,Clerical and Administrative Support Occupations,6270.0,Health doesn't affect work,86
Female,50,1929,Black,Non-immigrant,Single,0.0,,,Less than high school,,1895.0,Health doesn't affect work,87
Male,42,1937,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,18.0,21.0,High school,Sales Occupations,9005.0,Health doesn't affect work,88
Male,7,1972,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,89
Female,1,1978,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,90
Male,8,1972,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,91
Male,50,1929,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,37.0,,College and above,Managerial Occupations,17405.0,Health doesn't affect work,92
Female,55,1924,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,Technicians and Related Support Occupations,26050.0,Health doesn't affect work,93
Female,64,1915,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,7.0,19.0,,High school,Clerical and Administrative Support Occupations,3005.0,Health doesn't affect work,94
Female,39,1940,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,16.0,22.0,Less than high school,,0.0,Health affects work,95
Female,23,1956,Hispanic,Non-immigrant,Married,3.0,14.0,15.0,Less than high school,"Operators, Fabricators, and Laborers",0.0,Health doesn't affect work,96
Female,0,1979,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,97
Male,29,1950,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,28.0,,High school,Technicians and Related Support Occupations,18660.0,Health doesn't affect work,98
