gender,age,birth_year,race,immigrant_status,marital_status,child_number,age_first_childbirth,education,occupation,income,profile_id
Female,72.0,1946.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,1.0,21.0,College and above,Service occupations,,196
Female,29.0,1989.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,,College and above,Sales and office occupations,,197
Female,69.0,1949.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,2.0,21.0,College and above,Sales and office occupations,,198
Male,69.0,1949.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,3.0,21.0,High school,"Natural resources, construction, and maintenance occupations",,199
Male,21.0,1997.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,College and above,Unemployed,,200
Female,84.0,1934.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,5.0,17.0,Less than high school,"Production, transportation, and material moving occupations",,201
Male,19.0,1999.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,High school,"Production, transportation, and material moving occupations",,202
Male,87.0,1931.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,3.0,17.0,College and above,"Production, transportation, and material moving occupations",,203
Female,43.0,1975.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,21.0,College and above,"Management, professional, and related occupations",,204
Female,53.0,1965.0,"Non-Black, Non-Hispanic",Immigrant,Divorced/widowed,3.0,33.0,College and above,"Production, transportation, and material moving occupations",,205
Male,22.0,1996.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,,,High school,Service occupations,,206
Female,64.0,1954.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,3.0,17.0,College and above,Service occupations,,207
Female,30.0,1988.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,College and above,Service occupations,,208
Male,39.0,1979.0,"Non-Black, Non-Hispanic",Immigrant,Married,1.0,38.0,College and above,"Management, professional, and related occupations",,209
Female,59.0,1959.0,Black,Non-immigrant,Married,3.0,25.0,College and above,Sales and office occupations,,210
Male,39.0,1979.0,Hispanic,Non-immigrant,Married,3.0,18.0,High school,Sales and office occupations,,211
Female,50.0,1968.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,College and above,Service occupations,,212
Female,37.0,1981.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,College and above,"Management, professional, and related occupations",,213
Male,75.0,1943.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,1.0,39.0,College and above,"Management, professional, and related occupations",,214
Female,35.0,1983.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,2.0,19.0,College and above,"Management, professional, and related occupations",,215
Female,33.0,1985.0,Black,Immigrant,Married,2.0,30.0,College and above,"Management, professional, and related occupations",,216
Female,77.0,1941.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,3.0,28.0,College and above,Sales and office occupations,,217
Male,37.0,1981.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,32.0,College and above,"Production, transportation, and material moving occupations",,218
Female,70.0,1948.0,Black,Non-immigrant,Married,2.0,20.0,High school,Service occupations,,219
Male,46.0,1972.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,19.0,College and above,"Natural resources, construction, and maintenance occupations",,220
